claim,label
"RECLAMO MAIL Oggetto: Reclamo relativo alla Polizza Globale Fabbricati n° 2017/80/2286218582136 La sottoscritta  in qualità di legale rappresentante del Condominio di Via Italo, Ciaurro, 5 , ai sensi del Regolamento IVASS, reclama che ad oggi, nonostante le reiterate richieste, non ha avuto più notizie circa il sinistro n° 2018/47355523231313 del 26.01.2018. In relazione a quanto sopra, in allegato trasmetto copia della documentazione inviata via pec al Sig. Nello Binaglia e alla Reale Mutua, alla quale ad oggi non ho ricevuto nessuna risposta. Distinti saluti",Sinistri
"RECLAMO MAIL Con la presente siamo spiacenti dover comunicare il ns disappunto per i tempi di attesa che si stanno protraendo creando molti problemi di natura economica (mancati incassi degli acconti da parte dei clienti) alla nostra società, in riferimento alla nuova costruzione di un edificio residenziale bifamiliare e un villino unifamiliare sito in S. Cesareo V. Giolitti. Siamo Vs. clienti da oltre venti anni con altre società del gruppo in cui operiamo e ci aspettavamo un pronto sostegno in termini di tempistica visto che l'Agenzia di Tivoli vi ha inoltrato tutta la documentazione rituale in data 21/11/2018 Restiamo in attesa di Vs. celere risposta Nadia Mancini 339/3273528 Distinti saluti",Area Commerciale
"RECLAMO EMAIL Egr. sig.ri, con la presente inviamo ufficialmente reclamo per il sinistro in oggetto, la cui gestione secondo l'assicurato e l'amministratore del condominio non era assolutamente soddisfacente e questo ha portato alla disdetta della polizza. In allegato Vi trasmettiamo sia copia della lettera di disdetta che la nostra risposta all'amministratore. In attesa di un Vostro gentile riscontro porgiamo Cordiali saluti Oswald Deporta Verwaltungsleiter ",Sinistri
"RECLAMO EMAIL OGGETTO I: POSTA CERTIFICATA: OSTA CERTIFICATA: INFORTUNI SINISTRO N. 2018/30365/0051562 del 12/12/2017 Facendo seguito alla vostra raccomandata del 10/12/2018 ricevuta in data 19/12/18, nella quale riferite che il sinistro del sig. Luca non rientra nelle garanzie previste dalla polizza (N. 2017/05/27110625162) e considerato che questa è la terza volta che il sinistro denunciato, da altri assicurati, non può avere alcun indennizzo, Vi comunico sin d'ora che la Polizza N. 2017/05/27110626562 non sarà rinnovata alla scadenza, pertanto vogliate prenderne buona nota. Cordiali saluti ",Polizze
"RECLAMO E MAIL Buonasera, sono associato dal 1988, inoltre anche mia figlia Valentina è associata dal 2015. Devo segnalare un episodio increscioso che è accaduto il 23 dicembre c.a. Mia figlia con il veicolo in panne targa HJ540PL, polizza 2018/8004 agenzia di Bra (CN), ferma in una strada comunale, scarsamente illuminata, dalle ore 02.43 alle ore 03.00 ha contattato più volte per ben 5 min il servizio assistenza stradale 800092092 con il cellulare in attesa senza ricevere risposta, su mio consiglio ha telefonato anche il numero per le chiamate dall'estero con esito negativo. Per fortuna mi sono recato immediatamente in loco e ho riscontrato un cattivo funzionamento del blocchetto sterzo e con un liquido lubrificante si è risolta l'avaria resta il rammarico di un servizio pagato per molto tempo ed alla necessità risultato inefficiente. Vorrei delle risposte, sollecitate anche all'agente dell' agenzia di Bra : -Come mai non si avuta risposta alla chiamata e il numero degli operatori in servizio -Certo che il sistema abbia memoria delle chiamate ricevute come mai non è stato richiamato il numero della telefonata inevasa -Se gli operatori sono correttamente formati per un servizio essenziale, nel caso in questione il veicolo fermo su strada di carreggiata limitata anche se segnalato era un ingombro stradale ed inconveniente pericoloso per gli occupanti. gradirei avere risposte ai quesiti proposti saluti ",Area Commerciale
"RECLAMO In nome e per conto della Samifra Sas. di Luciano Asella , riscontro la sibillina vostra del 21/12/2018 e vi faccio presente che : 1) il danno RIENTRA tranquillamente nelle garanzie previste in polizza, in quanto, si tratta di un incendio e la Samifra Sas è assicurata per tale evento , sia con la garanzia base , che con quella estesa agli Eventi Speciali . 2) Non capisco a quale giudizio facciate riferimento , in quanto, non pende al momento , alcun giudizio. 3) Inoltre e in ogni caso, non capisco quali divergenze tra ""quanto denunciato e accertato "" possano essere emerse , in quanto, siamo in Perizia Formale e gli accertamenti sono tutt'ora in corso e finora hanno dimostrato l'esatto contrario di quello che sostenete. Pertanto , a meno che non abbiate capacità medianiche , anche questa vostra affermazione è del tutto sballata . In tutta franchezza, ritengo abbiate fatto confusione con qualche altra pratica. Nel caso così non fosse, invio la presente, insieme alla suddetta raccomandata ricevuta dalla Samifra , con la sottoscrizione del liquidatore , che non ha nemmeno il coraggio di firmarsi per esteso, tanto sono macroscopiche le baggianate che sostiene , all'IVASS per sua opportuna conoscenza , chiedendo di sanzionare il vostro comportamento assurdo , intempestivo, fuori luogo ed in barba alla consueta procedura . Distinti Saluti Avv. Guido Garofalo",Polizze
"RECLAMO ciao Federica, come stai? domande: dato che non posso camminare e venire da voi ti scrivo: 1 ti inoltro questi pazzi bluassistanze che mi hanno stimato 100 euro sia flussimetria che analisi sangue sono arrabbiata perchè cosi devo pagare in piu tantissimo io allora avrei fatto nelle clinica del mio ginecologo con rimborso e avrei speso uguale ma almeno avevo ginecologo che conosco qui hanno fatto casino 100 euro al somma di 2 prestazioni è ridicolo 2. nel loro sito non fanno caricare oltre a ricevuta e prescrizione anche il certificato di gravidanza a rischio quindi anche al telefono non sanno dirmi cosa fare e le ultime 2 richieste sono in stand by se questi non mi risolvono mi cancello e non pago rate e me ne vado è allucinante cusa ma dopo 5 telefonate con 5 persone diverse e in piu bios che mi dice che sono dei truffatori ecc sono esasperata è questione di SALUTE questi per quale motivo abbassano costo prestaz a 100 euro???? sommando le cose che devo fare' grazie scusa lo sfogo ma ho paura che poi mi facciano scherzi per il partodato che si tratta di rischio di vita non è uno scherzo  ",Sinistri
"RECLAMO email Data Evento 20/10/2017 N. Caso 515980928 RC 3329/2017 Con riferimento alla pratica in oggetto (v. allegati), nonostante l’invio di regolari diffide per l’esercizio dell’azione di surrogazione prevista dalla legge, a tutt’oggi, il Vostro Centro Liquidazioni Danni non ha fornito alcun riscontro. Si chiede, pertanto, di procedere all’esame della pratica al più presto e comunque entro 45 giorni dalla ricezione della presente (Regolamento n. 24/08 IVASS e successive modifiche). Distinti saluti.",Sinistri
"RECLAMO La sottoscritta, con polizza aziendale collettiva di cui all’oggetto, lamenta il mancato rimborso delle spese pre e post-ricovero sostenute nel periodo precedente e successivo all’evento. La degenza presso la casa di cura Santo Volto, è avvenuta il 17 ottobre 2018 in copertura diretta, mentre per i controlli precedenti e successivi a tale evento ho provveduto ad anticipare i costi e spedito ai vs uffici le fatture per ottenerne il rimborso. Le ricevute fiscali sono state inviate lo scorso anno, nel mese di novembre, mentre in data 2 novembre 2018 la casa di cura Santo Volto vi ha inviato tutta la documentazione (cartella clinica, presa in carico, fattura, parcella e documentazione medica). Ho fatto trascorrere abbondanti due mesi dopodichè ho iniziato a contattare l’ufficio preposto visto che nessuno mi aggiornava sullo stato del sinistro. Gli addetti al call center mi informavano che la pratica era in lavorazione e che dovevo solo attendere. In data 18/01/2019 ho allegato ulteriore documentazione medica sempre relativa al sinistro 2018/11046456624 Ad oggi ancora nessuna novità !!! Ritengo che il sinistro debba essere processato e che la sottoscritta venga quanto prima contattata dai vs. uffici Rimango in attesa di un riscontro. Distinti saluti ",Polizze
"RECLAMO E-MAIL Buongiorno Reale, e' da ieri che provo a contattare il numero verde , rimanendo in attesa anche 40 min, ma senza risposta. Ci sono guasti? Nel caso dovreste avvertire i clienti in attesa con un messaggio. Oppure necessita di piu' operatori? Fatto cosi', non svolgete un buon servizio ai vostri assicurati. ",Area Commerciale
